,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE
50,T NAGAR,1655,1,1,4,No,15458,Others,AllPub,Gravel,RH,12548930
51,KARAPAKKAM,940,1,1,3,No,22442,House,AllPub,Paved,RH,5857750
52,KK NAGAR,1667,2,1,4,Yes,5688,House,NoSeWa,Paved,RM,10729700
53,KK NAGAR,1926,3,2,5,Yes,8441,Commercial,NoSeWa,Paved,RM,17006780
54,ADYAR,718,1,1,2,Yes,16400,Others,ELO,No Access,C,5570050
55,KARAPAKKAM,545,1,1,2,No,14858,Others,ELO,No Access,RH,3854375
56,KARAPAKKAM,1249,1,1,3,Yes,17900,Others,ELO,Gravel,RH,8594875
57,T NAGAR,1894,2,1,5,Yes,19820,House,NoSeWa,Gravel,RL,13549250
58,KARAPAKKAM,1469,2,2,4,No,5764,Commercial,NoSeWa,No Access,C,9480750
59,ADYAR,916,1,1,3,Yes,15380,House,ELO,No Access,A,5847520
60,CHROMPET,934,1,1,3,Yes,13300,House,NoSeWa,Paved,RM,9710900
61,KARAPAKKAM,1691,2,2,4,No,15359,House,NoSeWa,Gravel,RM,9398750
62,KARAPAKKAM,1236,1,1,3,No,18409,Commercial,NoSeWa,Paved,I,8806250
63,T NAGAR,1577,1,1,4,Yes,18704,Others,NoSeWa,Paved,RH,12087330
64,ANNA NAGAR,1915,2,1,5,Yes,19240,Others,NoSeWa,Gravel,RH,14175620
65,ANNA NAGAR,1600,1,1,4,Yes,11429,House,ELO,Gravel,RH,11920820
66,VELACHERY,1579,2,1,4,Yes,12758,Commercial,ELO,Paved,I,13364730
67,ADYAR,1260,2,2,4,No,14303,Others,NoSeWa,No Access,A,6922975
68,ADYAR,1021,1,1,3,No,6484,Commercial,NoSeWa,Paved,I,11673175
69,KK NAGAR,2174,3,2,5,Yes,12554,Others,AllPub,Paved,RM,13069740
70,ANNA NAGAR,1589,1,1,4,No,20686,Others,AllPub,Gravel,RL,12212350
71,ADYAR,668,1,1,2,Yes,6395,Commercial,NoSeWa,Gravel,I,10283575
72,VELACHERY,1724,2,1,4,Yes,25722,House,ELO,No Access,RL,8956480
73,ADYAR,890,1,1,3,Yes,15034,House,NoSeWa,Paved,C,7187350
74,ADYAR,1218,2,2,4,No,16532,Commercial,AllPub,No Access,I,12574850
75,ANNA NAGAR,1792,1,1,4,Yes,11898,House,ELO,Gravel,RM,13906270
76,KARAPAKKAM,1378,2,2,4,No,7155,Others,NoSeWa,Gravel,RM,9917500
77,KARAPAKKAM,898,1,1,3,Yes,15397,Commercial,NoSeWa,Paved,RH,8629750
78,ANNA NAGAR,1928,2,1,5,No,7705,House,AllPub,No Access,RH,11667050
79,CHROMPET,1233,2,1,4,No,17122,House,NoSeWa,Gravel,RM,9817150
80,VELACHERY,1618,2,1,4,Yes,20105,Others,NoSeWa,Paved,C,9263050
81,KARAPAKKAM,627,1,1,2,No,14281,House,NoSeWa,Gravel,RM,6587500
82,VELACHERY,1563,2,1,4,No,16468,House,NoSeWa,Gravel,RM,9799360
83,KARAPAKKAM,1693,2,2,4,Yes,7199,Commercial,NoSeWa,Gravel,C,12801500
84,T NAGAR,1522,1,1,4,No,20444,Commercial,AllPub,Gravel,RL,17454510
85,ADYAR,1090,1,1,3,Yes,15398,Others,NoSeWa,Gravel,RH,9832420
86,CHROMPET,1085,1,1,3,Yes,5360,Commercial,NoSeWa,Gravel,RL,14363500
87,T NAGAR,1687,1,1,4,No,9535,Others,NoSeWa,Paved,RH,12476770
88,ADYAR,692,1,1,2,Yes,18630,Commercial,AllPub,Paved,RH,10381355
89,T NAGAR,1518,1,1,4,Yes,18701,Commercial,AllPub,Paved,RH,17600240
90,ADYAR,1025,1,1,3,No,14375,Commercial,NoSeWa,Paved,I,10934875
91,KK NAGAR,2170,3,2,5,Yes,7369,House,NoSeWa,Gravel,RL,12372160
92,CHROMPET,969,1,1,3,Yes,10347,Commercial,ELO,No Access,RH,11248750
93,KK NAGAR,1546,2,1,4,No,15136,Commercial,AllPub,Gravel,RM,14241140
94,KK NAGAR,1709,2,1,4,Yes,12018,House,NoSeWa,Paved,RL,10160600
95,T NAGAR,1659,1,1,4,Yes,9791,Others,NoSeWa,No Access,RL,13539080
96,CHROMPET,755,1,1,2,No,14860,Commercial,ELO,Gravel,RM,10727750
97,ADYAR,1182,1,1,3,Yes,11654,House,AllPub,No Access,RL,9867055
98,ADYAR,735,1,1,2,No,8757,Commercial,NoSeWa,No Access,RH,9478710
99,CHROMPET,1089,1,1,3,Yes,15125,House,ELO,Paved,RL,9050200
100,VELACHERY,1534,2,1,4,Yes,25817,Others,ELO,Paved,C,7904210
101,ANNA NAGAR,1622,1,1,4,Yes,7364,House,ELO,Gravel,RL,13063450
102,KK NAGAR,2198,3,2,5,Yes,12769,Others,NoSeWa,Gravel,RM,13584980
103,CHROMPET,1293,2,1,4,No,17295,Commercial,ELO,No Access,RL,13116050
104,KK NAGAR,1641,2,1,4,No,15310,Others,AllPub,Gravel,RL,10012600
105,VELACHERY,1950,3,2,5,Yes,21195,Others,NoSeWa,Paved,RL,12105920
106,KARAPAKKAM,1245,1,1,3,No,14472,Others,NoSeWa,Paved,A,4918375
107,CHROMPET,905,1,1,3,No,16805,Others,ELO,Gravel,RH,7703200
108,KK NAGAR,1496,2,1,4,No,8975,House,NoSeWa,Gravel,RH,8569080
109,VELACHERY,1892,3,2,5,Yes,19613,House,ELO,Gravel,RM,12146620
110,VELACHERY,1517,2,1,4,No,8449,Commercial,ELO,Paved,C,11671620
111,ADYAR,1034,1,1,3,Yes,10794,Others,ELO,Gravel,C,9256740
112,VELACHERY,1755,2,1,4,Yes,17633,Commercial,NoSeWa,Gravel,I,14915900
113,ANNA NAGAR,1622,1,1,4,Yes,5999,House,NoSeWa,Paved,RM,13547790
114,CHROMPET,1092,1,1,3,No,4881,Others,AllPub,No Access,RH,8213040
115,CHROMPET,821,1,1,3,No,6020,House,NoSeWa,Paved,RH,7304000
116,KK NAGAR,1694,2,1,4,No,9118,Others,NoSeWa,Gravel,RL,10390900
117,ANNA NAGAR,1809,2,1,5,No,14059,Commercial,AllPub,No Access,RL,19206870
118,KARAPAKKAM,1401,2,2,4,Yes,9175,Others,AllPub,Gravel,RL,9965375
119,KARAPAKKAM,1470,2,2,4,No,13323,Others,NoSeWa,No Access,RH,7207000
120,CHROMPET,798,1,1,2,No,16954,Commercial,NoSeWa,Paved,RH,9070550
121,CHROMPET,764,1,1,2,No,8249,House,ELO,No Access,RH,5670200
122,CHROMPET,1135,1,1,3,No,13771,Others,NoSeWa,No Access,RM,9253200
123,KARAPAKKAM,939,1,1,3,No,18856,House,ELO,No Access,I,4294000
124,KARAPAKKAM,1586,2,2,4,Yes,15174,Commercial,NoSeWa,Gravel,RM,14316000
125,T NAGAR,1973,2,1,5,Yes,18346,Commercial,AllPub,Gravel,RM,23307000
126,CHROMPET,1023,1,1,3,Yes,11820,House,AllPub,Paved,RM,9735150
127,CHROMPET,884,1,1,3,No,5845,Commercial,NoSeWa,No Access,RM,11336400
128,ANNA NAGAR,1640,1,1,4,No,6341,Commercial,ELO,No Access,RH,17701600
129,ADYAR,622,1,1,2,No,12875,Others,ELO,No Access,RL,6572900
130,ANNA NAGAR,1880,2,1,5,Yes,10528,House,NoSeWa,No Access,RM,13423020
131,KK NAGAR,2413,4,2,6,No,7863,Others,NoSeWa,Paved,RM,13122040
132,T NAGAR,1649,1,1,4,No,13992,Commercial,AllPub,Gravel,RH,18939100
133,VELACHERY,1729,2,1,4,Yes,20307,Commercial,NoSeWa,Paved,A,12803570
134,T NAGAR,1942,2,1,5,No,16340,House,NoSeWa,Gravel,RH,12330740
135,CHROMPET,711,1,1,2,Yes,7437,Others,NoSeWa,No Access,RL,8050270
136,CHROMPET,885,1,1,3,No,14972,House,ELO,No Access,RM,7194600
137,KK NAGAR,1688,2,1,4,Yes,10424,House,NoSeWa,Gravel,RM,11412700
138,ADYAR,1236,2,2,4,No,18961,Commercial,ELO,Gravel,A,12035355
139,KARAPAKKAM,926,1,1,3,No,11493,House,ELO,Gravel,RL,6877000
140,KK NAGAR,1686,2,1,4,No,13625,Others,NoSeWa,Paved,RM,10346400
141,KARAPAKKAM,1344,2,2,4,No,22915,Commercial,NoSeWa,Gravel,RH,10809500
142,KK NAGAR,1437,2,1,4,No,12104,Others,AllPub,Gravel,RM,10200600
143,KARAPAKKAM,1430,2,2,4,Yes,8538,Others,NoSeWa,No Access,A,6635750
144,ADYAR,1081,1,1,3,No,16268,House,AllPub,No Access,C,6190150
145,KARAPAKKAM,1352,2,2,4,Yes,14465,House,ELO,Gravel,A,6507250
146,KK NAGAR,1986,3,2,5,No,15826,House,AllPub,Gravel,RM,11350400
147,ANNA NAGAR,1758,1,1,4,Yes,20371,Commercial,AllPub,No Access,RL,19285540
148,KARAPAKKAM,607,1,1,2,No,21189,Others,NoSeWa,Gravel,RL,5856625
149,KK NAGAR,2139,3,2,5,Yes,12748,Others,NoSeWa,Paved,RL,12472000
150,KK NAGAR,1488,2,1,4,No,14328,Others,AllPub,Paved,RH,8441900
151,VELACHERY,1645,2,1,4,No,15546,House,NoSeWa,No Access,RH,7579320
152,CHROMPET,950,1,1,3,Yes,14164,Others,NoSeWa,Gravel,RL,9759000
153,CHROMPET,928,1,1,3,Yes,4624,Commercial,AllPub,Gravel,RH,12423800
154,VELACHERY,1693,2,1,4,Yes,24374,Commercial,NoSeWa,Paved,RM,15495760
155,VELACHERY,1873,3,2,5,Yes,13223,Others,ELO,No Access,RL,11022270
156,ADYAR,721,1,1,2,No,8140,Others,NoSeWa,Paved,RL,7605550
157,KARAPAKKAM,1190,1,1,3,Yes,14593,House,NoSeWa,Gravel,RH,7967750
158,KK NAGAR,1593,2,1,4,No,10383,Others,AllPub,Paved,RH,8946800
159,CHROMPET,786,1,1,2,Yes,8977,Others,ELO,Gravel,RL,9244820
160,CHROMPET,1195,1,1,3,No,10939,Others,NoSeWa,Paved,RL,9821600
161,VELACHERY,1824,3,2,5,No,16760,House,NoSeWa,Paved,I,8549060
162,KK NAGAR,1906,3,2,5,Yes,7850,Commercial,NoSeWa,Paved,RH,15852740
163,ADYAR,656,1,1,2,No,7668,Commercial,AllPub,Paved,I,8757635
164,CHROMPET,727,1,1,2,No,11584,Others,ELO,Gravel,RM,8415990
165,ADYAR,931,1,1,3,Yes,16665,Others,ELO,Paved,RM,9935595
166,VELACHERY,1898,3,2,5,Yes,19604,Commercial,ELO,No Access,RM,16617860
167,ANNA NAGAR,1698,1,1,4,No,20168,House,NoSeWa,Gravel,RM,12412050
168,T NAGAR,1926,2,1,5,Yes,11804,Commercial,NoSeWa,No Access,RM,22630540
169,KARAPAKKAM,1481,2,2,4,Yes,18169,Commercial,AllPub,Paved,A,9901500
170,ANNA NAGAR,1506,1,1,4,No,17542,House,ELO,No Access,RM,10449910
171,CHROMPET,1020,1,1,3,No,11763,House,NoSeWa,No Access,RM,7948600
172,CHROMPET,889,1,1,3,No,12751,Others,ELO,Gravel,RM,9098680
173,CHROMPET,1015,1,1,3,Yes,16684,House,AllPub,Paved,RH,8342850
174,T NAGAR,1682,1,1,4,No,16731,Commercial,AllPub,Gravel,RH,18662350
175,CHROMPET,869,1,1,3,No,9973,Others,NoSeWa,No Access,RM,8172630
176,KARAPAKKAM,1445,2,2,4,No,12591,House,NoSeWa,No Access,I,5856500
177,ANNA NAGAR,1919,2,1,5,Yes,7758,House,NoSeWa,Gravel,RM,14704160
178,ADYAR,1243,2,2,4,Yes,17227,Commercial,NoSeWa,Paved,C,13360440
179,KARAPAKKAM,857,1,1,2,No,10607,House,ELO,Paved,I,4928250
180,KARAPAKKAM,1055,1,1,3,Yes,22077,Others,NoSeWa,Gravel,I,7315125
181,KK NAGAR,1778,3,2,5,No,6866,Others,NoSeWa,Gravel,RL,10998320
182,KARAPAKKAM,851,1,1,2,No,19084,Others,ELO,Paved,A,3936375
183,CHROMPET,1021,1,1,3,Yes,6657,Others,NoSeWa,No Access,RL,9201770
184,KK NAGAR,2203,3,2,5,Yes,12433,Commercial,NoSeWa,Paved,RL,17891240
185,KARAPAKKAM,613,1,1,2,No,15389,Commercial,NoSeWa,No Access,I,5144500
186,ADYAR,738,1,1,2,No,12160,Commercial,NoSeWa,No Access,I,8312670
187,KARAPAKKAM,1489,2,2,4,No,14603,House,ELO,Gravel,RH,8007250
188,KARAPAKKAM,795,1,1,2,Yes,8016,House,NoSeWa,Gravel,RM,8479250
189,VELACHERY,1909,3,2,5,Yes,15923,Others,AllPub,Gravel,A,10129160
190,CHROMPET,1252,2,1,4,No,8380,House,AllPub,No Access,RM,9482200
191,KARAPAKKAM,1077,1,1,3,No,16302,Commercial,ELO,Paved,RM,9846750
192,KK NAGAR,1524,2,1,4,No,15134,Others,NoSeWa,Paved,RH,8675820
193,CHROMPET,1049,1,1,3,Yes,9228,House,ELO,Gravel,RM,10262450
194,VELACHERY,1780,2,1,4,No,25131,Others,AllPub,Gravel,C,8671050
195,CHROMPET,946,1,1,3,No,11294,Commercial,ELO,No Access,RL,11165550
196,CHROMPET,906,1,1,3,Yes,16738,House,NoSeWa,Gravel,RM,9464800
197,KK NAGAR,2344,4,2,6,No,13404,Commercial,NoSeWa,Gravel,RM,18849880
198,ADYAR,929,1,1,3,Yes,10260,Others,NoSeWa,Paved,RH,9480425
199,ANNA NAGAR,1843,2,1,5,No,10335,House,ELO,No Access,RL,12264750
200,ANNA NAGAR,1918,2,1,5,Yes,17490,Commercial,AllPub,Gravel,RL,21875050
201,KK NAGAR,1507,2,1,4,Yes,12001,Commercial,AllPub,Paved,RH,13538580
202,KK NAGAR,1499,2,1,4,No,6372,House,AllPub,Gravel,RH,8876320
203,KK NAGAR,1526,2,1,4,Yes,11711,Commercial,AllPub,Paved,RH,13645040
204,ANNA NAGAR,1855,2,1,5,Yes,8639,Commercial,NoSeWa,Paved,RH,20996200
205,KARAPAKKAM,1627,2,2,4,Yes,15236,Others,ELO,Paved,RH,9071125
206,VELACHERY,1846,3,2,5,No,18905,House,AllPub,Gravel,RM,10815830
207,KK NAGAR,2019,3,2,5,Yes,10211,Others,NoSeWa,Paved,RM,12802500
208,KARAPAKKAM,1578,2,2,4,Yes,8922,Others,AllPub,Gravel,I,9532500
209,VELACHERY,1780,2,1,4,Yes,14369,Commercial,NoSeWa,No Access,C,13346700
210,KARAPAKKAM,662,1,1,2,No,18055,Commercial,NoSeWa,No Access,C,4356500
211,CHROMPET,1005,1,1,3,No,14134,Commercial,NoSeWa,Gravel,RL,12257100
212,KARAPAKKAM,839,1,1,2,No,11914,House,NoSeWa,Paved,C,4100500
213,ANNA NAGAR,1698,1,1,4,No,17488,House,AllPub,No Access,RM,11527430
214,ADYAR,878,1,1,3,Yes,12183,House,NoSeWa,Paved,A,6452785
215,CHROMPET,835,1,1,3,Yes,18695,House,ELO,Paved,RM,8434750
216,CHROMPET,911,1,1,3,Yes,16302,Others,ELO,No Access,RH,7427820
217,VELACHERY,1796,2,1,4,Yes,24242,House,ELO,No Access,RH,9105350
218,KARAPAKKAM,1004,1,1,3,No,15231,Others,ELO,No Access,C,4721500
219,ANNA NAGAR,1694,1,1,4,No,14520,Others,NoSeWa,Paved,RL,12575010
220,KARAPAKKAM,1244,1,1,3,Yes,15431,Others,AllPub,Gravel,I,7952750
221,KARAPAKKAM,588,1,1,2,No,13358,Others,AllPub,Paved,RL,5705500
222,KK NAGAR,2342,4,2,6,Yes,6778,House,NoSeWa,Paved,RL,12898740
223,VELACHERY,1835,3,2,5,No,16117,Others,AllPub,Paved,RL,10722580
224,ANNA NAGAR,1977,2,1,5,Yes,21090,House,AllPub,Gravel,RL,14102960
225,KK NAGAR,1961,3,2,5,Yes,9489,Commercial,NoSeWa,Gravel,RM,17612900
226,VELACHERY,1517,2,1,4,Yes,11107,House,NoSeWa,No Access,A,7146890
227,KK NAGAR,2409,4,2,6,Yes,14109,Others,NoSeWa,Gravel,RL,13476480
228,VELACHERY,1864,3,2,5,No,14796,Commercial,ELO,Gravel,RH,15100560
229,VELACHERY,1643,2,1,4,Yes,16576,Commercial,AllPub,Paved,RM,15599020
230,ADYAR,1015,1,1,3,Yes,6765,Commercial,NoSeWa,No Access,C,11224620
231,ANNA NAGAR,1700,1,1,4,Yes,16351,Others,NoSeWa,No Access,RH,12477040
232,KARAPAKKAM,624,1,1,2,No,15938,Commercial,ELO,No Access,C,4396250
233,CHROMPET,980,1,1,3,No,11457,Commercial,NoSeWa,Paved,RL,11900750
234,KARAPAKKAM,1003,1,1,3,Yes,11846,Commercial,NoSeWa,Gravel,RH,10090000
235,ADYAR,1072,1,1,3,Yes,7056,House,NoSeWa,No Access,A,6607690
236,KARAPAKKAM,808,1,1,2,No,17432,House,NoSeWa,Gravel,C,4752250
237,CHROMPET,1027,1,1,3,No,11936,House,ELO,Paved,RH,7441350
238,KARAPAKKAM,696,1,1,2,No,8620,House,NoSeWa,Gravel,RL,6441250
239,VELACHERY,1716,2,1,4,Yes,7526,House,ELO,Paved,RL,10359860
240,VELACHERY,1878,3,2,5,No,6373,Commercial,AllPub,Paved,C,14328720
241,KK NAGAR,1699,2,1,4,Yes,9779,Others,NoSeWa,Gravel,RL,11444100
242,KK NAGAR,1626,2,1,4,No,12439,House,AllPub,Paved,RM,9680280
243,KK NAGAR,1730,2,1,4,No,11914,Commercial,NoSeWa,Gravel,RL,14739360
244,CHROMPET,996,1,1,3,No,13566,Others,ELO,Gravel,RL,8939620
245,CHROMPET,1277,2,1,4,Yes,8991,Commercial,AllPub,No Access,RM,15710400
246,CHROMPET,906,1,1,3,No,15056,Commercial,NoSeWa,Paved,RH,10226600
247,ANNA NAGAR,1976,2,1,5,No,18255,House,NoSeWa,Paved,RL,12300050
248,VELACHERY,1776,2,1,4,Yes,12155,House,NoSeWa,Paved,RH,9989170
249,KARAPAKKAM,1402,2,2,4,No,15227,House,NoSeWa,Gravel,I,6966500
250,CHROMPET,1160,1,1,3,Yes,16168,Others,AllPub,No Access,RH,9463900
251,VELACHERY,1957,3,2,5,Yes,15160,Commercial,ELO,No Access,I,15199450
252,T NAGAR,1887,2,1,5,No,11172,Commercial,NoSeWa,No Access,RL,20499450
253,VELACHERY,1859,3,2,5,Yes,22558,House,ELO,Paved,RH,9925210
254,CHROMPET,747,1,1,2,Yes,7581,Commercial,AllPub,No Access,RM,11223550
255,ADYAR,985,1,1,3,Yes,7459,House,NoSeWa,Paved,C,7379505
256,CHROMPET,1024,1,1,3,Yes,9444,Commercial,AllPub,No Access,RH,12091400
257,VELACHERY,1600,2,1,4,Yes,13789,Others,ELO,Paved,RL,10530200
258,CHROMPET,1276,2,1,4,No,16411,Others,NoSeWa,Paved,RL,9604120
259,CHROMPET,1159,1,1,3,Yes,17619,House,ELO,Gravel,RH,9062800
260,KARAPAKKAM,1024,1,1,3,Yes,22107,House,NoSeWa,No Access,C,4748500
261,ADYAR,1249,2,2,4,No,11339,Commercial,NoSeWa,Paved,A,12642285
262,CHROMPET,839,1,1,3,Yes,10139,Others,AllPub,Gravel,RH,9107430
263,CHROMPET,1286,2,1,4,No,17928,House,AllPub,No Access,RM,9153300
264,KK NAGAR,2467,4,2,6,No,9968,House,AllPub,Gravel,RL,12650920
265,KARAPAKKAM,653,1,1,2,No,9956,Commercial,ELO,No Access,RM,7635250
266,KARAPAKKAM,606,1,1,2,Yes,10839,Others,NoSeWa,Gravel,RM,7854000
267,T NAGAR,1837,2,1,5,Yes,16001,House,ELO,No Access,RL,13197230
268,VELACHERY,1880,3,2,5,Yes,20788,Commercial,NoSeWa,No Access,C,13669670
269,KK NAGAR,2189,3,2,5,Yes,12500,Commercial,AllPub,Gravel,RH,18249860
270,VELACHERY,1853,3,2,5,Yes,23548,Commercial,NoSeWa,Paved,C,14707330
271,CHROMPET,1057,1,1,3,No,9301,Others,AllPub,Paved,RL,9144840
272,ADYAR,723,1,1,2,No,15790,Commercial,ELO,Gravel,RM,10969920
273,T NAGAR,1812,2,1,5,No,20695,Others,ELO,No Access,RL,12248640
274,T NAGAR,1788,1,1,4,Yes,11279,Others,ELO,No Access,RL,14225180
275,VELACHERY,1615,2,1,4,No,13558,House,ELO,Paved,I,8019280
276,ANNA NAGAR,1755,1,1,4,No,18815,House,NoSeWa,No Access,RL,11410310
277,ADYAR,1296,2,2,4,No,12569,House,AllPub,No Access,RM,9950600
278,KK NAGAR,1554,2,1,4,Yes,6698,House,NoSeWa,Paved,RL,9980320
279,ANNA NAGAR,1737,1,1,4,Yes,6216,House,AllPub,Gravel,RL,14292780
280,KARAPAKKAM,785,1,1,2,Yes,9137,Others,AllPub,No Access,I,5752875
281,KARAPAKKAM,1678,2,2,4,Yes,16993,Commercial,NoSeWa,Gravel,C,11883250
282,KK NAGAR,2360,4,2,6,Yes,7488,Commercial,NoSeWa,Paved,RM,19816180
283,KK NAGAR,1464,2,1,4,Yes,14810,Others,NoSeWa,Paved,RH,9394640
284,KK NAGAR,1632,2,1,4,Yes,11167,Others,AllPub,Gravel,RH,10506420
285,VELACHERY,1755,2,1,4,Yes,15264,Others,ELO,No Access,C,8762820
286,VELACHERY,1556,2,1,4,No,12252,Others,NoSeWa,Paved,RL,9348100
287,ADYAR,1170,1,1,3,No,17212,House,NoSeWa,Gravel,RH,9134740
288,ADYAR,901,1,1,3,No,19331,Others,AllPub,Gravel,I,7643255
289,KARAPAKKAM,1160,1,1,3,Yes,11945,Commercial,NoSeWa,Gravel,A,8886250
290,KARAPAKKAM,1570,2,2,4,Yes,7522,House,NoSeWa,No Access,A,6407000
291,KARAPAKKAM,1476,2,2,4,No,15903,Commercial,NoSeWa,Paved,RL,11536000
292,KARAPAKKAM,586,1,1,2,Yes,10775,Others,ELO,Paved,I,5333000
293,KARAPAKKAM,1059,1,1,3,Yes,16637,House,AllPub,Paved,RL,7849250
294,T NAGAR,1712,1,1,4,Yes,6250,House,NoSeWa,Gravel,RL,13797720
295,ADYAR,847,1,1,3,No,19959,Others,NoSeWa,Gravel,RH,7492300
296,KARAPAKKAM,1192,1,1,3,No,12381,House,NoSeWa,No Access,I,5342250
297,VELACHERY,1942,3,2,5,Yes,15137,Commercial,AllPub,No Access,RL,16212650
298,KARAPAKKAM,557,1,1,2,Yes,10957,Others,ELO,No Access,I,4710125
299,VELACHERY,1728,2,1,4,Yes,11778,Commercial,ELO,Gravel,I,14898480
300,VELACHERY,1798,2,1,4,Yes,15625,Commercial,AllPub,Gravel,RM,17060380
301,KARAPAKKAM,1497,2,2,4,Yes,16749,House,AllPub,Gravel,A,6931750
302,CHROMPET,1173,1,1,3,Yes,16590,House,NoSeWa,No Access,RH,8196400
303,ANNA NAGAR,1640,1,1,4,Yes,16627,Commercial,NoSeWa,No Access,RH,17704670
304,KK NAGAR,1747,2,1,4,Yes,10950,Others,NoSeWa,Paved,RL,10784680
305,KARAPAKKAM,1342,2,2,4,Yes,20341,Commercial,ELO,No Access,I,9594250
306,T NAGAR,2000,2,1,5,No,15311,House,NoSeWa,No Access,RM,13596890
